Title,Link,Price,Engine_Capacity,Transmission,Steering,Type,Color,Manufactured_Year,Imported_Year,Fuel_Type,Interior_Color,Leasing,Drive_Type,Mileage,Condition
"Toyota Prius 41, 2020/2025",https://www.unegui.mn/adv/9839724_toyota-prius-41-2020-2025/,38.9 сая₮,1.8 л,Автомат,Буруу,Гэр бүлийн,Сувдан цагаан,2020,2025,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,200000 км,Дугаар аваагүй
"Lexus RX 450, 2018/2025",https://www.unegui.mn/adv/9835315_lexus-rx-450-2018-2025/,89.9 сая₮,3.5 л,Автомат,Буруу,Жийп,Хар,2018,2025,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,111500 км,Дугаар аваагүй
"Toyota Prius 41, 2013/2025",https://www.unegui.mn/adv/9856510_toyota-prius-41-2014-2025/,26.9 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2013,2025,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,131202 км,Дугаар аваагүй
"Land Rover Defender, 2022/2024",https://www.unegui.mn/adv/9874554_land-rover-defender-2022-2024/,285 сая₮,2.0 л,Автомат,Зөв,Жийп,Хар,2022,2024,Бензин,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,33000 км,Дугаар авсан
"Lexus RX 450, 2012/2025",https://www.unegui.mn/adv/9791994_lexus-rx-450-2014-2025/,51.9 сая₮,3.5 л,Автомат,Буруу,Жийп,Сувдан цагаан,2012,2025,Хайбрид,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,173180 км,Дугаар аваагүй
"Toyota Prius 41, 2014/2025",https://www.unegui.mn/adv/9843017_toyota-prius-41-2012-2025/,22.9 сая₮,1.8 л,Автомат,Буруу,Гэр бүлийн,Саарал,2014,2025,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,207882 км,Дугаар аваагүй
"Toyota Prius 41, 2012/2025",https://www.unegui.mn/adv/9859642_toyota-prius-41-2012-2025/,23.9 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Хар,2012,2025,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,149000 км,Дугаар аваагүй
"Toyota Aqua, 2016/2024",https://www.unegui.mn/adv/9874545_toyota-aqua-2016-2024/,16.5 сая₮,1.5 л,Автомат,Буруу,Суудлын тэрэг,Хар саарал,2016,2024,Хайбрид,Лизинггүй,Лизинггүй,Урдаа FWD,140000 км,Дугаар авсан
"Toyota Prius 41, 2011/2025",https://www.unegui.mn/adv/9869565_toyota-prius-41-2011-2025/,28 сая₮,1.8 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2011,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,178000 км,Дугаар авсан
"Subaru Forester, 2016/2025",https://www.unegui.mn/adv/9833174_subaru-forester-2016-2025/,36 сая₮,2.0 л,Автомат,Буруу,Жийп,Саарал,2016,2025,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,135000 км,Дугаар аваагүй
"Subaru Forester, 2016/2025",https://www.unegui.mn/adv/9833194_subaru-forester-2016-2025/,30 сая₮,2.0 л,Автомат,Буруу,Жийп,Хар саарал,2016,2025,Бензин,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,199000 км,Дугаар аваагүй
"Lexus RX 450, 2013/2025",https://www.unegui.mn/adv/9833490_lexus-rx-450-2013-2025/,51 сая₮,3.5 л,Автомат,Буруу,Жийп,Сувдан цагаан,2013,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,104000 км,Дугаар аваагүй
"Toyota Harrier, 2014/2025",https://www.unegui.mn/adv/9833359_toyota-harrier-2014-2025/,51 сая₮,2.5 л,Автомат,Буруу,Жийп,Сувдан цагаан,2014,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Бүх дугуй 4WD,170000 км,Дугаар аваагүй
"Toyota Crown, 2016/2025",https://www.unegui.mn/adv/9839344_toyota-crown-2016-2025/,40 сая₮,2.5 л,Автомат,Буруу,Суудлын тэрэг,Хар,2016,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Хойноо RWD,150000 км,Дугаар аваагүй
"Toyota Sai, 2016/2025",https://www.unegui.mn/adv/9874514_toyota-sai-2016-2025/,33.8 сая₮,2.4 л,Автомат,Буруу,Суудлын тэрэг,Саарал,2016,2025,Хайбрид,ББСБ лизингтэй,ББСБ лизингтэй,Урдаа FWD,222 км,Дугаар авсан
"Toyota Vellfire, 2015/2025",https://www.unegui.mn/adv/9852959_toyota-vellfire-2015-2025/,60.5 сая₮67 сая₮,2.5 л,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2015,2025,Хайбрид,Лизинггүй,Лизинггүй,Бүх дугуй 4WD,300000 км,Дугаар авсан
"Jeep Wrangler, 2019/2024",https://www.unegui.mn/adv/9124148_jeep-wrangler-2019-2024/,140 сая₮,2.0 л,Автомат,Зөв,Жийп,Цагаан,2019,2024,Бензин,Банкны лизингтэй,Банкны лизингтэй,Бүх дугуй 4WD,61000 км,Дугаар аваагүй
"Toyota Camry, 2016/2025",https://www.unegui.mn/adv/9634741_toyota-camry-2016-2025/,55 сая₮,2.4 л,Автомат,Зөв,Суудлын тэрэг,Саарал,2016,2025,Хайбрид,Банкны лизингтэй,Банкны лизингтэй,Урдаа FWD,105000 км,Дугаар аваагүй
